timestep,mean_reward,mean_ep_length
46772,195.0000,490
46816,110.0000,366
47116,55.0000,394
47132,330.0000,825
47156,545.0000,1357
47608,280.0000,838
47780,165.0000,703
47972,325.0000,855
48008,230.0000,929
48224,40.0000,264
48268,285.0000,529
48524,155.0000,602
48644,185.0000,466
48956,305.0000,729
48984,515.0000,1430
49212,260.0000,748
49232,150.0000,633
49388,55.0000,483
49656,90.0000,460
49708,485.0000,766
49860,390.0000,704
50108,300.0000,756
50136,165.0000,519
50284,285.0000,627
50296,145.0000,477
50716,120.0000,471
50740,200.0000,477
50812,235.0000,749
50844,140.0000,753
51120,120.0000,459
51212,180.0000,506
51324,115.0000,513
51544,65.0000,389
51580,400.0000,810
51712,255.0000,626
51848,15.0000,307
51912,160.0000,625
52364,185.0000,575
52376,215.0000,496
52392,290.0000,902
52392,295.0000,731
52800,145.0000,478
52844,165.0000,505
53032,250.0000,700
53268,325.0000,910
53308,190.0000,500
53380,240.0000,615
53452,130.0000,481
53508,35.0000,277
53688,170.0000,420
53964,145.0000,498
54200,275.0000,547
54348,450.0000,940
54532,745.0000,1183
54552,230.0000,626
54616,160.0000,460
55000,135.0000,503
55040,120.0000,532
55076,170.0000,500
55316,55.0000,286
55408,590.0000,1113
55464,195.0000,520
55496,155.0000,499
55656,65.0000,376
55932,45.0000,484
56328,355.0000,965
56376,275.0000,955
56420,120.0000,529
56460,220.0000,857
56984,250.0000,646
57000,245.0000,626
57364,215.0000,954
57384,225.0000,1105
57540,285.0000,594
57612,35.0000,298
57628,110.0000,287
57724,575.0000,792
58044,95.0000,461
58044,115.0000,492
58312,250.0000,823
58376,25.0000,370
58480,135.0000,480
58544,455.0000,860
58664,120.0000,410
59024,225.0000,693
59096,295.0000,658
59108,200.0000,496
59440,125.0000,392
59444,305.0000,935
59708,335.0000,743
59880,330.0000,841
60248,340.0000,860
60456,205.0000,609
60552,345.0000,896
60884,415.0000,1487
61024,125.0000,510
61100,300.0000,902
61248,110.0000,285
61432,220.0000,592
61500,500.0000,1074
61732,345.0000,670
61856,130.0000,482
62104,300.0000,911
62156,120.0000,483
62348,230.0000,541
62676,115.0000,380
62680,115.0000,631
62868,490.0000,1411
63020,290.0000,918
63260,145.0000,639
63468,215.0000,642
63560,305.0000,919
63656,195.0000,681
63780,65.0000,373
63972,375.0000,758
64000,30.0000,387
64024,180.0000,504
64108,65.0000,360
64324,110.0000,360
64480,115.0000,532
64672,15.0000,381
64800,105.0000,354
64840,270.0000,911
65008,225.0000,957
65328,285.0000,526
65380,305.0000,640
65660,390.0000,694
65684,120.0000,399
65744,585.0000,1106
65868,60.0000,258
65876,185.0000,536
66428,330.0000,790
66496,190.0000,814
66584,280.0000,763
66588,330.0000,759
66736,105.0000,349
67008,135.0000,477
67024,220.0000,485
67056,280.0000,593
67064,100.0000,377
67248,55.0000,280
67344,105.0000,354
67492,170.0000,462
67720,435.0000,716
67764,150.0000,478
67844,260.0000,651
68136,40.0000,429
68252,90.0000,590
68264,285.0000,830
68268,110.0000,484
68356,55.0000,276
68784,230.0000,559
68856,225.0000,648
68872,215.0000,558
69052,325.0000,843
